city,city_ascii,state_name,lat,lng
New York,New York,New York,40.6943,-73.9249
Los Angeles,Los Angeles,California,34.1141,-118.4068
Chicago,Chicago,Illinois,41.8375,-87.6866
Miami,Miami,Florida,25.784,-80.2101
Houston,Houston,Texas,29.786,-95.3885
Dallas,Dallas,Texas,32.7935,-96.7667
Philadelphia,Philadelphia,Pennsylvania,40.0077,-75.1339
Atlanta,Atlanta,Georgia,33.7628,-84.422
Washington,Washington,District of Columbia,38.9047,-77.0163
Boston,Boston,Massachusetts,42.3188,-71.0852
Phoenix,Phoenix,Arizona,33.5722,-112.0892
Detroit,Detroit,Michigan,42.3834,-83.1024
Seattle,Seattle,Washington,47.6211,-122.3244
San Francisco,San Francisco,California,37.7558,-122.4449
San Diego,San Diego,California,32.8313,-117.1222
Minneapolis,Minneapolis,Minnesota,44.9635,-93.2678
Tampa,Tampa,Florida,27.9945,-82.4447
Brooklyn,Brooklyn,New York,40.6501,-73.9496
Denver,Denver,Colorado,39.762,-104.8758
Queens,Queens,New York,40.7498,-73.7976
Riverside,Riverside,California,33.9381,-117.3949
Las Vegas,Las Vegas,Nevada,36.2333,-115.2654
Baltimore,Baltimore,Maryland,39.3051,-76.6144
St. Louis,St. Louis,Missouri,38.6359,-90.2451
Portland,Portland,Oregon,45.5371,-122.65
San Antonio,San Antonio,Texas,29.4632,-98.5238
Sacramento,Sacramento,California,38.5677,-121.4685
Austin,Austin,Texas,30.3005,-97.7522
Orlando,Orlando,Florida,28.4773,-81.337
San Juan,San Juan,Puerto Rico,18.3985,-66.061
San Jose,San Jose,California,37.3012,-121.848
Pittsburgh,Pittsburgh,Pennsylvania,40.4397,-79.9763
Indianapolis,Indianapolis,Indiana,39.7771,-86.1458
Manhattan,Manhattan,New York,40.7834,-73.9662
Cincinnati,Cincinnati,Ohio,39.1413,-84.506
Kansas City,Kansas City,Missouri,39.1238,-94.5541
Cleveland,Cleveland,Ohio,41.4764,-81.6805
Columbus,Columbus,Ohio,39.9862,-82.9855
Bronx,Bronx,New York,40.8501,-73.8662
Virginia Beach,Virginia Beach,Virginia,36.7335,-76.0435
Charlotte,Charlotte,North Carolina,35.2083,-80.8303
Milwaukee,Milwaukee,Wisconsin,43.0642,-87.9675
Providence,Providence,Rhode Island,41.823,-71.4187
Jacksonville,Jacksonville,Florida,30.3322,-81.6749
Nashville,Nashville,Tennessee,36.1715,-86.7842
Salt Lake City,Salt Lake City,Utah,40.7776,-111.9311
Raleigh,Raleigh,North Carolina,35.8324,-78.6429
Richmond,Richmond,Virginia,37.5295,-77.4756
Memphis,Memphis,Tennessee,35.1087,-89.9663
Oklahoma City,Oklahoma City,Oklahoma,35.4676,-97.5136
Hartford,Hartford,Connecticut,41.7661,-72.6834
Louisville,Louisville,Kentucky,38.1663,-85.6485
Buffalo,Buffalo,New York,42.9018,-78.8487
New Orleans,New Orleans,Louisiana,30.0687,-89.9288
Fort Worth,Fort Worth,Texas,32.7817,-97.3474
Bridgeport,Bridgeport,Connecticut,41.1918,-73.1954
Tucson,Tucson,Arizona,32.1541,-110.8787
El Paso,El Paso,Texas,31.8476,-106.43
Omaha,Omaha,Nebraska,41.2627,-96.0529
McAllen,McAllen,Texas,26.2252,-98.2467
Birmingham,Birmingham,Alabama,33.5279,-86.7971
Albuquerque,Albuquerque,New Mexico,35.1054,-106.6465
Tulsa,Tulsa,Oklahoma,36.1283,-95.9042
Fresno,Fresno,California,36.783,-119.7939
Charleston,Charleston,South Carolina,32.8168,-79.9687
Rochester,Rochester,New York,43.168,-77.6162
Dayton,Dayton,Ohio,39.7805,-84.2003
Cape Coral,Cape Coral,Florida,26.6443,-81.9957
Mission Viejo,Mission Viejo,California,33.6096,-117.6551
Colorado Springs,Colorado Springs,Colorado,38.8674,-104.7605
Baton Rouge,Baton Rouge,Louisiana,30.442,-91.1311
Allentown,Allentown,Pennsylvania,40.5961,-75.4756
Ogden,Ogden,Utah,41.2279,-111.9682
Provo,Provo,Utah,40.2457,-111.6457
Knoxville,Knoxville,Tennessee,35.9692,-83.9496
Grand Rapids,Grand Rapids,Michigan,42.9619,-85.6562
Columbia,Columbia,South Carolina,34.0378,-80.9036
Albany,Albany,New York,42.6664,-73.7987
Bakersfield,Bakersfield,California,35.3529,-119.0359
New Haven,New Haven,Connecticut,41.3113,-72.9246
Des Moines,Des Moines,Iowa,41.5725,-93.6105
Akron,Akron,Ohio,41.0798,-81.5219
Palm Bay,Palm Bay,Florida,27.9631,-80.6593
Concord,Concord,California,37.9722,-122.0016
Wichita,Wichita,Kansas,37.6895,-97.3443
Mesa,Mesa,Arizona,33.4015,-111.7178
Harrisburg,Harrisburg,Pennsylvania,40.2752,-76.8843
Staten Island,Staten Island,New York,40.5834,-74.1496
Toledo,Toledo,Ohio,41.6638,-83.5827
Worcester,Worcester,Massachusetts,42.2705,-71.8079
Long Beach,Long Beach,California,33.7977,-118.167
Port St. Lucie,Port St. Lucie,Florida,27.2796,-80.3884
Little Rock,Little Rock,Arkansas,34.7256,-92.3577
Reno,Reno,Nevada,39.5497,-119.8483
Spokane,Spokane,Washington,47.6671,-117.433
Madison,Madison,Wisconsin,43.0822,-89.393
Boise,Boise,Idaho,43.6005,-116.2308
Bonita Springs,Bonita Springs,Florida,26.3558,-81.7859
Denton,Denton,Texas,33.2175,-97.1418
Oakland,Oakland,California,37.7904,-122.2166
Springfield,Springfield,Massachusetts,42.1155,-72.5395
Augusta,Augusta,Georgia,33.3645,-82.0708
Kissimmee,Kissimmee,Florida,28.3041,-81.4169
Winston-Salem,Winston-Salem,North Carolina,36.1029,-80.261
Stockton,Stockton,California,37.9765,-121.3109
Syracuse,Syracuse,New York,43.0407,-76.1437
Chattanooga,Chattanooga,Tennessee,35.066,-85.2481
Lancaster,Lancaster,Pennsylvania,40.042,-76.3012
Greenville,Greenville,South Carolina,34.8354,-82.3646
Durham,Durham,North Carolina,35.9792,-78.9022
Pensacola,Pensacola,Florida,30.4413,-87.1911
Fayetteville,Fayetteville,Arkansas,36.0714,-94.1661
Arlington,Arlington,Texas,32.6998,-97.125
Aurora,Aurora,Colorado,39.7083,-104.7237
Oxnard,Oxnard,California,34.1964,-119.1815
Indio,Indio,California,33.7346,-116.2346
Scranton,Scranton,Pennsylvania,41.4044,-75.6649
Victorville,Victorville,California,34.5277,-117.3536
Trenton,Trenton,New Jersey,40.2237,-74.7641
Modesto,Modesto,California,37.6375,-121.0028
Huntsville,Huntsville,Alabama,34.6981,-86.6412
Honolulu,Honolulu,Hawaii,21.3294,-157.846
Greensboro,Greensboro,North Carolina,36.0956,-79.8271
Anaheim,Anaheim,California,33.839,-117.8574
Corpus Christi,Corpus Christi,Texas,27.7254,-97.3767
Fort Wayne,Fort Wayne,Indiana,41.0888,-85.1436
Fort Collins,Fort Collins,Colorado,40.5477,-105.0656
Jackson,Jackson,Mississippi,32.3157,-90.2125
Myrtle Beach,Myrtle Beach,South Carolina,33.7094,-78.8844
Fayetteville,Fayetteville,North Carolina,35.085,-78.9772
Antioch,Antioch,California,37.9787,-121.796
Lansing,Lansing,Michigan,42.7142,-84.5601
Lexington,Lexington,Kentucky,38.0423,-84.4587
Mobile,Mobile,Alabama,30.6782,-88.1162
Youngstown,Youngstown,Ohio,41.0993,-80.6463
Henderson,Henderson,Nevada,36.0133,-115.0381
Savannah,Savannah,Georgia,32.0286,-81.1821
Poughkeepsie,Poughkeepsie,New York,41.695,-73.9211
Santa Ana,Santa Ana,California,33.7367,-117.8819
Ann Arbor,Ann Arbor,Michigan,42.2759,-83.731
St. Paul,St. Paul,Minnesota,44.9478,-93.1039
Newark,Newark,New Jersey,40.7245,-74.1725
Irvine,Irvine,California,33.6772,-117.7738
Santa Rosa,Santa Rosa,California,38.4458,-122.7067
Canton,Canton,Ohio,40.8078,-81.3676
Asheville,Asheville,North Carolina,35.5707,-82.5537
Flint,Flint,Michigan,43.0236,-83.6921
Winter Haven,Winter Haven,Florida,28.0118,-81.7014
Anchorage,Anchorage,Alaska,61.1508,-149.1091
Lincoln,Lincoln,Nebraska,40.8099,-96.6784
Concord,Concord,North Carolina,35.3933,-80.6369
Jersey City,Jersey City,New Jersey,40.7184,-74.0686
Springfield,Springfield,Missouri,37.1943,-93.2916
Plano,Plano,Texas,33.0502,-96.7486
Shreveport,Shreveport,Louisiana,32.4653,-93.7955
Davenport,Davenport,Iowa,41.5565,-90.6053
Lubbock,Lubbock,Texas,33.5657,-101.8879
Lakeland,Lakeland,Florida,28.0557,-81.9545
South Bend,South Bend,Indiana,41.6767,-86.2696
Chula Vista,Chula Vista,California,32.6281,-117.0144
Chandler,Chandler,Arizona,33.2825,-111.8514
Rockford,Rockford,Illinois,42.2596,-89.064
Reading,Reading,Pennsylvania,40.34,-75.9267
Eugene,Eugene,Oregon,44.0564,-123.1174
Wilmington,Wilmington,North Carolina,34.2099,-77.8866
Santa Clarita,Santa Clarita,California,34.4175,-118.4964
Gilbert,Gilbert,Arizona,33.31,-111.7463
Salem,Salem,Oregon,44.9233,-123.0244
Killeen,Killeen,Texas,31.0753,-97.7297
Round Lake Beach,Round Lake Beach,Illinois,42.3791,-88.0811
Columbus,Columbus,Georgia,32.51,-84.8771
North Las Vegas,North Las Vegas,Nevada,36.2883,-115.0888
Kennewick,Kennewick,Washington,46.1978,-119.1732
St. Petersburg,St. Petersburg,Florida,27.7931,-82.6652
Tallahassee,Tallahassee,Florida,30.4551,-84.2527
Laredo,Laredo,Texas,27.5625,-99.4874
Irving,Irving,Texas,32.8583,-96.9702
Peoria,Peoria,Illinois,40.752,-89.6154
Montgomery,Montgomery,Alabama,32.3482,-86.2668
Chesapeake,Chesapeake,Virginia,36.6778,-76.3023
Glendale,Glendale,Arizona,33.5791,-112.2311
York,York,Pennsylvania,39.9651,-76.7315
Nashua,Nashua,New Hampshire,42.7491,-71.491
Garland,Garland,Texas,32.91,-96.6304
Scottsdale,Scottsdale,Arizona,33.6872,-111.8651
Lafayette,Lafayette,Louisiana,30.2082,-92.0325
Norfolk,Norfolk,Virginia,36.8945,-76.259
Arlington,Arlington,Virginia,38.8786,-77.1011
Appleton,Appleton,Wisconsin,44.278,-88.3892
Aguadilla,Aguadilla,Puerto Rico,18.4382,-67.1537
Rock Hill,Rock Hill,South Carolina,34.9415,-81.0241
Fremont,Fremont,California,37.5265,-121.9843
Fargo,Fargo,North Dakota,46.8651,-96.8292
Gulfport,Gulfport,Mississippi,30.4274,-89.0704
Bremerton,Bremerton,Washington,47.5436,-122.7121
Green Bay,Green Bay,Wisconsin,44.5148,-87.9895
Enterprise,Enterprise,Nevada,36.0091,-115.2278
Hialeah,Hialeah,Florida,25.8696,-80.3045
Deltona,Deltona,Florida,28.905,-81.2137
San Bernardino,San Bernardino,California,34.1416,-117.2943
Gainesville,Gainesville,Florida,29.6804,-82.3459
Spring Valley,Spring Valley,Nevada,36.0952,-115.2636
Tacoma,Tacoma,Washington,47.2431,-122.4531
Roanoke,Roanoke,Virginia,37.2785,-79.9581
Brownsville,Brownsville,Texas,25.9975,-97.458
College Station,College Station,Texas,30.5852,-96.2959
Olympia,Olympia,Washington,47.0417,-122.8959
Clarksville,Clarksville,Tennessee,36.5692,-87.3413
Yonkers,Yonkers,New York,40.9466,-73.8673
Moreno Valley,Moreno Valley,California,33.9244,-117.2045
Thousand Oaks,Thousand Oaks,California,34.1914,-118.8756
Portland,Portland,Maine,43.6773,-70.2715
Fontana,Fontana,California,34.0968,-117.4599
Hickory,Hickory,North Carolina,35.741,-81.3223
Amarillo,Amarillo,Texas,35.1984,-101.8316
Sioux Falls,Sioux Falls,South Dakota,43.5396,-96.7311
Evansville,Evansville,Indiana,37.9881,-87.5341
Huntington,Huntington,West Virginia,38.4109,-82.4345
Waterbury,Waterbury,Connecticut,41.5582,-73.0361
Frisco,Frisco,Texas,33.156,-96.8216
Lorain,Lorain,Ohio,41.4409,-82.184
Kalamazoo,Kalamazoo,Michigan,42.2749,-85.5882
Galveston,Galveston,Texas,29.2484,-94.8913
Spartanburg,Spartanburg,South Carolina,34.9442,-81.9251
Santa Barbara,Santa Barbara,California,34.4285,-119.7202
Sunrise Manor,Sunrise Manor,Nevada,36.1783,-115.0487
Huntington Beach,Huntington Beach,California,33.696,-118.0018
Grand Prairie,Grand Prairie,Texas,32.6871,-97.0208
Overland Park,Overland Park,Kansas,38.887,-94.687
McKinney,McKinney,Texas,33.2016,-96.667
Waco,Waco,Texas,31.5599,-97.1882
Hagerstown,Hagerstown,Maryland,39.6401,-77.7217
Glendale,Glendale,California,34.1819,-118.2468
Nampa,Nampa,Idaho,43.5844,-116.5638
Peoria,Peoria,Arizona,33.7843,-112.2989
Cedar Rapids,Cedar Rapids,Iowa,41.9662,-91.6783
Vancouver,Vancouver,Washington,45.6366,-122.5967
Paradise,Paradise,Nevada,36.0872,-115.1355
Ocala,Ocala,Florida,29.178,-82.1511
Erie,Erie,Pennsylvania,42.1167,-80.0733
Newport News,Newport News,Virginia,37.1051,-76.5185
Frederick,Frederick,Maryland,39.4337,-77.4141
Murfreesboro,Murfreesboro,Tennessee,35.849,-86.4121
Fort Lauderdale,Fort Lauderdale,Florida,26.1412,-80.1464
Aurora,Aurora,Illinois,41.7638,-88.2902
Tempe,Tempe,Arizona,33.3881,-111.9319
Danbury,Danbury,Connecticut,41.4015,-73.4709
Spring Hill,Spring Hill,Florida,28.4798,-82.53
Gastonia,Gastonia,North Carolina,35.2494,-81.1854
Salinas,Salinas,California,36.6883,-121.6317
Fredericksburg,Fredericksburg,Virginia,38.2992,-77.4872
Ontario,Ontario,California,34.0393,-117.6064
Elk Grove,Elk Grove,California,38.4161,-121.3842
Gainesville,Gainesville,Georgia,34.2902,-83.8294
Cary,Cary,North Carolina,35.7819,-78.8195
Rancho Cucamonga,Rancho Cucamonga,California,34.1247,-117.5667
Oceanside,Oceanside,California,33.2247,-117.3083
Garden Grove,Garden Grove,California,33.7787,-117.9601
Lancaster,Lancaster,California,34.6935,-118.1753
Hemet,Hemet,California,33.7341,-116.9969
Pembroke Pines,Pembroke Pines,Florida,26.0128,-80.3382
Panama City,Panama City,Florida,30.1995,-85.6003
Vallejo,Vallejo,California,38.1125,-122.2342
Manchester,Manchester,New Hampshire,42.9848,-71.4447
Medford,Medford,Oregon,42.3372,-122.854
Bayamón,Bayamon,Puerto Rico,18.3794,-66.1635
Mauldin,Mauldin,South Carolina,34.7821,-82.3032
Santa Cruz,Santa Cruz,California,36.9789,-122.0346
Palmdale,Palmdale,California,34.5944,-118.1057
Norwich,Norwich,Connecticut,41.5495,-72.0882
Muskegon,Muskegon,Michigan,43.2281,-86.2562
Leesburg,Leesburg,Florida,28.7672,-81.8962
High Point,High Point,North Carolina,35.991,-79.9937
Tuscaloosa,Tuscaloosa,Alabama,33.2348,-87.5268
Visalia,Visalia,California,36.3276,-119.3269
Marysville,Marysville,Washington,48.0809,-122.1561
Merced,Merced,California,37.3057,-120.4779
Hayward,Hayward,California,37.6328,-122.0766
Lafayette,Lafayette,Indiana,40.3991,-86.8593
Springfield,Springfield,Illinois,39.7709,-89.654
Corona,Corona,California,33.8616,-117.5649
Paterson,Paterson,New Jersey,40.9147,-74.1624
Alexandria,Alexandria,Virginia,38.8185,-77.0861
Macon,Macon,Georgia,32.8065,-83.6974
Binghamton,Binghamton,New York,42.1014,-75.9093
Lakewood,Lakewood,Colorado,39.6977,-105.1172
Kansas City,Kansas City,Kansas,39.1235,-94.7443
Odessa,Odessa,Texas,31.8801,-102.3448
Sunnyvale,Sunnyvale,California,37.3836,-122.0255
New Bedford,New Bedford,Massachusetts,41.6697,-70.9428
Hollywood,Hollywood,Florida,26.0293,-80.1679
South Lyon,South Lyon,Michigan,42.4614,-83.6526
Escondido,Escondido,California,33.1348,-117.0723
Lake Charles,Lake Charles,Louisiana,30.201,-93.2111
Pasadena,Pasadena,Texas,29.6575,-95.1498
Bellevue,Bellevue,Washington,47.5951,-122.1535
Joliet,Joliet,Illinois,41.5188,-88.1499
Champaign,Champaign,Illinois,40.1142,-88.2737
Pomona,Pomona,California,34.0585,-117.7626
Fairfield,Fairfield,California,38.2583,-122.0335
Mesquite,Mesquite,Texas,32.7602,-96.5865
Elkhart,Elkhart,Indiana,41.6916,-85.9627
Naperville,Naperville,Illinois,41.748,-88.1659
St. George,St. George,Utah,37.0758,-113.5752
Roseville,Roseville,California,38.7703,-121.3196
Topeka,Topeka,Kansas,39.0346,-95.6955
Burlington,Burlington,North Carolina,36.076,-79.4685
Warner Robins,Warner Robins,Georgia,32.5961,-83.6527
Surprise,Surprise,Arizona,33.6815,-112.4515
Torrance,Torrance,California,33.8346,-118.3416
Santa Maria,Santa Maria,California,34.9333,-120.4431
Athens,Athens,Georgia,33.9508,-83.3689
Houma,Houma,Louisiana,29.58,-90.7059
Columbia,Columbia,Missouri,38.9472,-92.3268
Fullerton,Fullerton,California,33.8841,-117.9279
Olathe,Olathe,Kansas,38.8833,-94.82
Thornton,Thornton,Colorado,39.9197,-104.9438
Greeley,Greeley,Colorado,40.4152,-104.7706
Beaumont,Beaumont,Texas,30.0849,-94.1451
Las Cruces,Las Cruces,New Mexico,32.3265,-106.7893
Midland,Midland,Texas,32.0243,-102.1147
Metairie,Metairie,Louisiana,29.9977,-90.178
Carolina,Carolina,Puerto Rico,18.4054,-65.9792
West Valley City,West Valley City,Utah,40.6886,-112.0123
Orange,Orange,California,33.8038,-117.8218
Warren,Warren,Michigan,42.4934,-83.027
Grand Junction,Grand Junction,Colorado,39.0877,-108.5673
Tyler,Tyler,Texas,32.3184,-95.3062
Pasadena,Pasadena,California,34.1597,-118.139
Hampton,Hampton,Virginia,37.0551,-76.363
Bloomington,Bloomington,Illinois,40.4757,-88.9703
Elizabeth,Elizabeth,New Jersey,40.6658,-74.1913
Stamford,Stamford,Connecticut,41.1039,-73.5585
Yuma,Yuma,Arizona,32.5995,-114.5491
Kent,Kent,Washington,47.3887,-122.2128
Miramar,Miramar,Florida,25.9773,-80.3351
Coeur d'Alene,Coeur d'Alene,Idaho,47.704,-116.7936
Coral Springs,Coral Springs,Florida,26.2702,-80.2591
Sterling Heights,Sterling Heights,Michigan,42.5809,-83.0305
Yuba City,Yuba City,California,39.1357,-121.6383
Yakima,Yakima,Washington,46.5923,-120.5496
Carrollton,Carrollton,Texas,32.989,-96.8999
Racine,Racine,Wisconsin,42.7274,-87.8135
Johnson City,Johnson City,Tennessee,36.3406,-82.3806
Billings,Billings,Montana,45.7891,-108.5526
Iowa City,Iowa City,Iowa,41.6559,-91.5303
Dover,Dover,Delaware,39.161,-75.5202
Bellingham,Bellingham,Washington,48.7548,-122.469
Charleston,Charleston,West Virginia,38.3484,-81.6322
Lynchburg,Lynchburg,Virginia,37.4003,-79.1909
Santa Clara,Santa Clara,California,37.3646,-121.968
Norman,Norman,Oklahoma,35.2335,-97.3471
Greenville,Greenville,North Carolina,35.5943,-77.376
Simi Valley,Simi Valley,California,34.2663,-118.749
Fort Smith,Fort Smith,Arkansas,35.3495,-94.3695
Abilene,Abilene,Texas,32.4543,-99.7384
Arecibo,Arecibo,Puerto Rico,18.4491,-66.7387
Lewisville,Lewisville,Texas,33.0454,-96.9815
Pearland,Pearland,Texas,29.5581,-95.3218
Lehigh Acres,Lehigh Acres,Florida,26.612,-81.6388
Kenosha,Kenosha,Wisconsin,42.5865,-87.8773
Seaside,Seaside,California,36.6224,-121.8199
Burlington,Burlington,Vermont,44.4876,-73.2316
Arvada,Arvada,Colorado,39.832,-105.151
Waldorf,Waldorf,Maryland,38.6085,-76.9194
Independence,Independence,Missouri,39.0871,-94.3501
Rochester,Rochester,Minnesota,44.0154,-92.478
Logan,Logan,Utah,41.7399,-111.8422
Harlingen,Harlingen,Texas,26.1916,-97.6977
Berkeley,Berkeley,California,37.8722,-122.276
Clovis,Clovis,California,36.8278,-119.683
Round Rock,Round Rock,Texas,30.527,-97.6642
Pueblo,Pueblo,Colorado,38.2701,-104.6114
Temple,Temple,Texas,31.1068,-97.3891
Meridian,Meridian,Idaho,43.6116,-116.3977
Duluth,Duluth,Minnesota,46.7756,-92.1393
The Woodlands,The Woodlands,Texas,30.1738,-95.5134
Boulder,Boulder,Colorado,40.0248,-105.2524
Richardson,Richardson,Texas,32.9716,-96.7093
Cambridge,Cambridge,Massachusetts,42.3759,-71.1185
West Palm Beach,West Palm Beach,Florida,26.7469,-80.132
Port Arthur,Port Arthur,Texas,29.8554,-93.9264
East Los Angeles,East Los Angeles,California,34.0326,-118.1691
Redding,Redding,California,40.5698,-122.365
Clearwater,Clearwater,Florida,27.979,-82.7623
Monroe,Monroe,Louisiana,32.5185,-92.0774
Utica,Utica,New York,43.0962,-75.2261
St. Cloud,St. Cloud,Minnesota,45.534,-94.1718
Mandeville,Mandeville,Louisiana,30.3751,-90.0904
West Jordan,West Jordan,Utah,40.6024,-112.0008
North Charleston,North Charleston,South Carolina,32.9067,-80.0722
Richmond,Richmond,California,37.9477,-122.3389
Westminster,Westminster,Colorado,39.8837,-105.0624
Saginaw,Saginaw,Michigan,43.4199,-83.9501
Kailua,Kailua,Hawaii,21.392,-157.7396
Brandon,Brandon,Florida,27.9367,-82.3
Ponce,Ponce,Puerto Rico,18.0127,-66.6212
Carlsbad,Carlsbad,California,33.1246,-117.2834
Lowell,Lowell,Massachusetts,42.6389,-71.3217
Broken Arrow,Broken Arrow,Oklahoma,36.038,-95.7806
Elgin,Elgin,Illinois,42.0383,-88.324
Gresham,Gresham,Oregon,45.5021,-122.4413
League City,League City,Texas,29.4874,-95.1087
Downey,Downey,California,33.9379,-118.1311
Waterloo,Waterloo,Iowa,42.4918,-92.3522
Murrieta,Murrieta,California,33.5719,-117.1909
Leominster,Leominster,Massachusetts,42.5209,-71.7717
Longview,Longview,Texas,32.5193,-94.7622
Jacksonville,Jacksonville,North Carolina,34.7289,-77.3941
Pompano Beach,Pompano Beach,Florida,26.2428,-80.1312
Bend,Bend,Oregon,44.0563,-121.3095
Miami Gardens,Miami Gardens,Florida,25.9433,-80.2426
Costa Mesa,Costa Mesa,California,33.6667,-117.9135
Sioux City,Sioux City,Iowa,42.4959,-96.3901
Everett,Everett,Washington,47.9525,-122.1669
Gilroy,Gilroy,California,37.0046,-121.5854
San Buenaventura,San Buenaventura,California,34.2741,-119.2314
Temecula,Temecula,California,33.4928,-117.1315
Sugar Land,Sugar Land,Texas,29.5935,-95.6358
Chico,Chico,California,39.7578,-121.8161
Eau Claire,Eau Claire,Wisconsin,44.8197,-91.4948
El Monte,El Monte,California,34.0739,-118.0291
Idaho Falls,Idaho Falls,Idaho,43.4871,-112.0362
Dearborn,Dearborn,Michigan,42.3127,-83.213
Bloomington,Bloomington,Indiana,39.1637,-86.5257
West Covina,West Covina,California,34.0555,-117.9113
Sparks,Sparks,Nevada,39.5736,-119.7161
South Fulton,South Fulton,Georgia,33.6273,-84.58
Centennial,Centennial,Colorado,39.5926,-104.8673
Sandy Springs,Sandy Springs,Georgia,33.9366,-84.3703
Inglewood,Inglewood,California,33.9566,-118.3444
Hillsboro,Hillsboro,Oregon,45.5273,-122.936
Columbia,Columbia,Maryland,39.2004,-76.859
Burbank,Burbank,California,34.1879,-118.3235
Davie,Davie,Florida,26.0789,-80.287
El Cajon,El Cajon,California,32.8017,-116.9604
Jurupa Valley,Jurupa Valley,California,34.001,-117.4706
Allen,Allen,Texas,33.1088,-96.6735
Auburn,Auburn,Alabama,32.6087,-85.4903
Renton,Renton,Washington,47.4784,-122.1918
Holland,Holland,Michigan,42.7677,-86.0984
Brockton,Brockton,Massachusetts,42.0821,-71.0242
Rio Rancho,Rio Rancho,New Mexico,35.2873,-106.6982
San Mateo,San Mateo,California,37.5522,-122.3121
Rialto,Rialto,California,34.1175,-117.3892
Spokane Valley,Spokane Valley,Washington,47.6626,-117.2346
Charlottesville,Charlottesville,Virginia,38.0375,-78.4855
Menifee,Menifee,California,33.6909,-117.1849
Daly City,Daly City,California,37.6862,-122.4685
Wichita Falls,Wichita Falls,Texas,33.9072,-98.5291
Riverview,Riverview,Florida,27.8227,-82.3023
Norwalk,Norwalk,California,33.9069,-118.0829
Lee's Summit,Lee's Summit,Missouri,38.9171,-94.3816
Longmont,Longmont,Colorado,40.1686,-105.1005
Vacaville,Vacaville,California,38.3587,-121.9673
Highlands Ranch,Highlands Ranch,Colorado,39.5419,-104.9708
Kingsport,Kingsport,Tennessee,36.5224,-82.5454
San Tan Valley,San Tan Valley,Arizona,33.1786,-111.5629
Quincy,Quincy,Massachusetts,42.2506,-71.0187
Edinburg,Edinburg,Texas,26.3196,-98.1597
Lynn,Lynn,Massachusetts,42.4781,-70.9664
San Angelo,San Angelo,Texas,31.4424,-100.4504
Hesperia,Hesperia,California,34.3975,-117.3147
Bowling Green,Bowling Green,Kentucky,36.9716,-86.4378
Federal Way,Federal Way,Washington,47.3091,-122.3358
Carmel,Carmel,Indiana,39.965,-86.146
Bismarck,Bismarck,North Dakota,46.8143,-100.7694
Fishers,Fishers,Indiana,39.9588,-85.9659
Lafayette,Lafayette,Colorado,39.9946,-105.0998
Vista,Vista,California,33.1896,-117.2386
Boca Raton,Boca Raton,Florida,26.3752,-80.108
St. Augustine,St. Augustine,Florida,29.8976,-81.31
Beaverton,Beaverton,Oregon,45.4779,-122.8168
Goodyear,Goodyear,Arizona,33.2614,-112.3622
Portsmouth,Portsmouth,Virginia,36.8468,-76.354
Orem,Orem,Utah,40.2981,-111.6994
Sunrise,Sunrise,Florida,26.1547,-80.2997
Portsmouth,Portsmouth,New Hampshire,43.058,-70.7826
Arden-Arcade,Arden-Arcade,California,38.6017,-121.3845
Lawrence,Lawrence,Kansas,38.9597,-95.2642
Sandy,Sandy,Utah,40.5709,-111.8506
Slidell,Slidell,Louisiana,30.2887,-89.7828
Buckeye,Buckeye,Arizona,33.4314,-112.6429
Livonia,Livonia,Michigan,42.3972,-83.3733
Williamsburg,Williamsburg,Virginia,37.2693,-76.7076
Suffolk,Suffolk,Virginia,36.6953,-76.6398
Compton,Compton,California,33.893,-118.2274
La Crosse,La Crosse,Wisconsin,43.8241,-91.2268
Edmond,Edmond,Oklahoma,35.6689,-97.416
Carson,Carson,California,33.8374,-118.2559
San Marcos,San Marcos,California,33.135,-117.1743
Tracy,Tracy,California,37.7269,-121.4523
Prescott Valley,Prescott Valley,Arizona,34.598,-112.3185
Middletown,Middletown,Ohio,39.5033,-84.3659
Fall River,Fall River,Massachusetts,41.7136,-71.1015
San Germán,San German,Puerto Rico,18.0827,-67.046
Santa Fe,Santa Fe,New Mexico,35.6619,-105.9819
Plantation,Plantation,Florida,26.1259,-80.2617
Mayagüez,Mayaguez,Puerto Rico,18.2003,-67.1397
New Braunfels,New Braunfels,Texas,29.6994,-98.1148
Roswell,Roswell,Georgia,34.0391,-84.3513
Conroe,Conroe,Texas,30.3238,-95.4824
South Gate,South Gate,California,33.9447,-118.1926
Santa Monica,Santa Monica,California,34.0235,-118.481
Kirkland,Kirkland,Washington,47.697,-122.2057
Hoover,Hoover,Alabama,33.3763,-86.8068
O'Fallon,O'Fallon,Missouri,38.785,-90.7175
Alafaya,Alafaya,Florida,28.528,-81.1868
Palm Coast,Palm Coast,Florida,29.5389,-81.2457
Norwalk,Norwalk,Connecticut,41.1144,-73.4215
Lawton,Lawton,Oklahoma,34.6175,-98.4202
Chino,Chino,California,33.9836,-117.6654
Mount Pleasant,Mount Pleasant,South Carolina,32.8537,-79.8203
Manteca,Manteca,California,37.7927,-121.2264
Westminster,Westminster,California,33.7523,-117.9938
Florence,Florence,South Carolina,34.178,-79.7898
Joplin,Joplin,Missouri,37.0757,-94.5018
Germantown,Germantown,Maryland,39.1755,-77.2643
San Leandro,San Leandro,California,37.7074,-122.1599
Town 'n' Country,Town 'n' Country,Florida,28.0106,-82.5763
